TurnNumber,TruePositive,FalsePositive,TrueNegative,FalseNegative,Accuracy,Specificity,Sensitivity,Precesion,F2Score
1,0,0,23,177,0.115,1.0,0.0,0,0
2,0,0,23,177,0.115,1.0,0.0,0,0
3,0,0,23,177,0.115,1.0,0.0,0,0
4,65,8,15,112,0.4,0.6521739130434783,0.3672316384180791,0.8904109589041096,1.4689265536723164
5,113,14,9,64,0.61,0.391304347826087,0.6384180790960452,0.889763779527559,2.553672316384181
6,177,23,0,0,0.885,0.0,1.0,0.885,4.0
7,174,22,1,3,0.875,0.043478260869565216,0.9830508474576272,0.8877551020408163,3.9322033898305087
8,177,23,0,0,0.885,0.0,1.0,0.885,4.0
9,170,20,3,7,0.865,0.13043478260869565,0.96045197740113,0.8947368421052632,3.84180790960452
10,147,18,5,30,0.76,0.21739130434782608,0.8305084745762712,0.8909090909090909,3.3220338983050848
11,151,16,7,26,0.79,0.30434782608695654,0.8531073446327684,0.9041916167664671,3.4124293785310735
12,139,20,3,38,0.71,0.13043478260869565,0.7853107344632768,0.8742138364779874,3.1412429378531073
13,140,15,8,37,0.74,0.34782608695652173,0.7909604519774012,0.9032258064516129,3.1638418079096047
14,111,14,9,66,0.6,0.391304347826087,0.6271186440677966,0.888,2.508474576271186
15,150,20,3,27,0.765,0.13043478260869565,0.847457627118644,0.8823529411764706,3.389830508474576
16,152,19,4,25,0.78,0.17391304347826086,0.8587570621468926,0.8888888888888888,3.4350282485875705
17,158,21,2,19,0.8,0.08695652173913043,0.8926553672316384,0.88268156424581,3.5706214689265536
18,168,20,3,9,0.855,0.13043478260869565,0.9491525423728814,0.8936170212765957,3.7966101694915255
19,163,20,3,14,0.83,0.13043478260869565,0.9209039548022598,0.8907103825136612,3.683615819209039
20,162,20,3,15,0.825,0.13043478260869565,0.9152542372881356,0.8901098901098901,3.6610169491525424
21,165,21,2,12,0.835,0.08695652173913043,0.9322033898305084,0.8870967741935484,3.7288135593220337
22,170,22,1,7,0.855,0.043478260869565216,0.96045197740113,0.8854166666666666,3.84180790960452
23,171,22,1,6,0.86,0.043478260869565216,0.9661016949152542,0.8860103626943006,3.8644067796610164
24,174,23,0,3,0.87,0.0,0.9830508474576272,0.883248730964467,3.9322033898305087
25,174,23,0,3,0.87,0.0,0.9830508474576272,0.883248730964467,3.9322033898305087
26,171,23,0,6,0.855,0.0,0.9661016949152542,0.8814432989690721,3.8644067796610164
27,171,23,0,6,0.855,0.0,0.9661016949152542,0.8814432989690721,3.8644067796610164
28,173,23,0,4,0.865,0.0,0.9774011299435028,0.8826530612244898,3.9096045197740112
29,171,21,2,6,0.865,0.08695652173913043,0.9661016949152542,0.890625,3.864406779661017
30,175,21,2,2,0.885,0.08695652173913043,0.9887005649717514,0.8928571428571429,3.9548022598870056
31,171,19,4,6,0.875,0.17391304347826086,0.9661016949152542,0.9,3.8644067796610164
32,171,19,4,6,0.875,0.17391304347826086,0.9661016949152542,0.9,3.8644067796610164
33,170,21,2,7,0.86,0.08695652173913043,0.96045197740113,0.8900523560209425,3.84180790960452
34,169,20,3,8,0.86,0.13043478260869565,0.9548022598870056,0.8941798941798942,3.8192090395480225
35,166,20,3,11,0.845,0.13043478260869565,0.9378531073446328,0.8924731182795699,3.751412429378531
36,172,20,3,5,0.875,0.13043478260869565,0.9717514124293786,0.8958333333333334,3.8870056497175143
37,168,21,2,9,0.85,0.08695652173913043,0.9491525423728814,0.8888888888888888,3.796610169491525
38,171,22,1,6,0.86,0.043478260869565216,0.9661016949152542,0.8860103626943006,3.8644067796610164
39,170,21,2,7,0.86,0.08695652173913043,0.96045197740113,0.8900523560209425,3.84180790960452
