TurnNumber,TruePositive,FalsePositive,TrueNegative,FalseNegative,Accuracy,Specificity,Sensitivity,Precesion,F2Score
1,0,0,76,24,0.76,1.0,0.0,0,0
2,0,0,76,24,0.76,1.0,0.0,0,0
3,0,0,76,24,0.76,1.0,0.0,0,0
4,0,3,73,24,0.73,0.9605263157894737,0.0,0.0,0
5,6,20,56,18,0.62,0.7368421052631579,0.25,0.23076923076923078,1.0
6,1,2,74,23,0.75,0.9736842105263158,0.041666666666666664,0.3333333333333333,0.16666666666666666
7,2,9,67,22,0.69,0.881578947368421,0.08333333333333333,0.18181818181818182,0.3333333333333333
8,0,0,76,24,0.76,1.0,0.0,0,0
9,0,9,67,24,0.67,0.881578947368421,0.0,0.0,0
10,6,24,52,18,0.58,0.6842105263157895,0.25,0.2,1.0
11,6,14,62,18,0.68,0.8157894736842105,0.25,0.3,1.0
12,9,20,56,15,0.65,0.7368421052631579,0.375,0.3103448275862069,1.5
13,7,23,53,17,0.6,0.6973684210526315,0.2916666666666667,0.23333333333333334,1.1666666666666667
14,12,29,47,12,0.59,0.618421052631579,0.5,0.2926829268292683,2.0
15,3,15,61,21,0.64,0.8026315789473685,0.125,0.16666666666666666,0.5
16,7,13,63,17,0.7,0.8289473684210527,0.2916666666666667,0.35,1.1666666666666667
17,3,13,63,21,0.66,0.8289473684210527,0.125,0.1875,0.5
18,3,12,64,21,0.67,0.8421052631578947,0.125,0.2,0.5
19,3,13,63,21,0.66,0.8289473684210527,0.125,0.1875,0.5
20,3,12,64,21,0.67,0.8421052631578947,0.125,0.2,0.5
21,0,12,64,24,0.64,0.8421052631578947,0.0,0.0,0
22,1,7,69,23,0.7,0.9078947368421053,0.041666666666666664,0.125,0.16666666666666666
23,0,5,71,24,0.71,0.9342105263157895,0.0,0.0,0
24,2,3,73,22,0.75,0.9605263157894737,0.08333333333333333,0.4,0.3333333333333333
25,2,1,75,22,0.77,0.9868421052631579,0.08333333333333333,0.6666666666666666,0.3333333333333333
26,0,4,72,24,0.72,0.9473684210526315,0.0,0.0,0
27,1,5,71,23,0.72,0.9342105263157895,0.041666666666666664,0.16666666666666666,0.16666666666666666
28,1,2,74,23,0.75,0.9736842105263158,0.041666666666666664,0.3333333333333333,0.16666666666666666
29,1,2,74,23,0.75,0.9736842105263158,0.041666666666666664,0.3333333333333333,0.16666666666666666
30,0,2,74,24,0.74,0.9736842105263158,0.0,0.0,0
31,0,6,70,24,0.7,0.9210526315789473,0.0,0.0,0
32,2,6,70,22,0.72,0.9210526315789473,0.08333333333333333,0.25,0.3333333333333333
33,1,3,73,23,0.74,0.9605263157894737,0.041666666666666664,0.25,0.16666666666666666
34,0,7,69,24,0.69,0.9078947368421053,0.0,0.0,0
35,1,8,68,23,0.69,0.8947368421052632,0.041666666666666664,0.1111111111111111,0.16666666666666666
36,0,7,69,24,0.69,0.9078947368421053,0.0,0.0,0
37,1,6,70,23,0.71,0.9210526315789473,0.041666666666666664,0.14285714285714285,0.16666666666666666
38,1,6,70,23,0.71,0.9210526315789473,0.041666666666666664,0.14285714285714285,0.16666666666666666
39,1,4,72,23,0.73,0.9473684210526315,0.041666666666666664,0.2,0.16666666666666666
40,1,5,71,23,0.72,0.9342105263157895,0.041666666666666664,0.16666666666666666,0.16666666666666666
41,2,4,72,22,0.74,0.9473684210526315,0.08333333333333333,0.3333333333333333,0.3333333333333333
42,2,3,73,22,0.75,0.9605263157894737,0.08333333333333333,0.4,0.3333333333333333
